,0
Granulation_Time,1.7224014243685084
Binder_Amount,0.6911343333004568
Drying_Temp,3.386246693120078
Drying_Time,2.48327740429189
Compression_Force,1.3392784126785091
Machine_Speed,15.692885861646563
Lubricant_Conc,0.13784048752090222
Moisture_Content,0.39999999999999997
Tablet_Weight,1.0870449239413524
Hardness,9.584710046040342
Friability,0.08755950357709133
Disintegration_Time,2.356904749878535
Dissolution_Rate,1.952178270548055
Content_Uniformity,1.8994736112934005
Temperature_C_mean,0.757454652121104
Temperature_C_std,0.3118025468027313
Temperature_C_min,0.7237433676607972
Temperature_C_max,3.7876857840169875
Pressure_Bar_mean,0.0008482186983963964
Pressure_Bar_std,0.0054119597554668835
Pressure_Bar_min,0.04261428215652953
Pressure_Bar_max,0.05104575552130938
Humidity_Percent_mean,0.6938565475056733
Humidity_Percent_std,0.29697908543763957
Humidity_Percent_min,0.5892386687045482
Humidity_Percent_max,0.8261765178108135
Motor_Speed_RPM_mean,14.03510766495944
Motor_Speed_RPM_std,20.71058298220211
Motor_Speed_RPM_min,0.0
Motor_Speed_RPM_max,25.022308402324395
Compression_Force_kN_mean,0.9399030945168804
Compression_Force_kN_std,0.7766613584624769
Compression_Force_kN_min,0.0
Compression_Force_kN_max,1.7132782983459132
Flow_Rate_LPM_mean,0.15218596604764068
Flow_Rate_LPM_std,0.1724443009766522
Flow_Rate_LPM_min,0.0
Flow_Rate_LPM_max,0.36897124169777695
Power_Consumption_kW_mean,1.4040164848869376
Power_Consumption_kW_std,0.39857947036005703
Power_Consumption_kW_min,0.36470177614859844
Power_Consumption_kW_max,2.6515298089744768
Vibration_mm_s_mean,0.2282440995967278
Vibration_mm_s_std,0.08413028707297285
Vibration_mm_s_min,0.03235268396101126
Vibration_mm_s_max,0.7238011132215579
total_energy_kwh,442.0514540152635
vibration_spikes,1.8348478592697182
Friability_inv,0.07680658208516783
